ticker,div
MU,0.0083
GPN,0.0083
BRO,0.0081
J,0.0081
AON,0.008
MLM,0.008
V,0.0077
MAR,0.0077
RMD,0.0075
INTU,0.0074
GL,0.0073
UHS,0.0073
COST,0.0072000003
OXY,0.0072000003
VRSK,0.0070999996
AME,0.0070999996
WAB,0.0066000004
TFX,0.0066000004
ATVI,0.0064999997
ROP,0.0064
A,0.0061000003
MA,0.0061000003
CEG,0.0061000003
AAPL,0.006
EA,0.006
HUM,0.0058
WRB,0.0057
MCK,0.0056
ALB,0.0056
TER,0.0053
HLT,0.0046
HWM,0.0046
L,0.0045
FTV,0.0045
GE,0.0044
ODFL,0.0044
TECH,0.0042
DHR,0.004
PGR,0.0032
WST,0.0028
TMO,0.0023999999
PKI,0.0021
PWR,0.002
IR,0.0016
TXT,0.0011999999
NVDA,0.0011999999
MGM,0.00029999999
COO,0.0002
ABMD,
ADBE,
AKAM,
ALK,
ALGN,
GOOGL,
GOOG,
AMZN,
AMD,
AAL,
ANSS,
APTV,
ACGL,
ANET,
ADSK,
AZO,
BRK.B,
BIO,
BIIB,
BA,
BKNG,
BSX,
BF.B,
CDNS,
CZR,
KMX,
CCL,
CTLT,
CBRE,
CNC,
CDAY,
CRL,
CHTR,
CMG,
CPRT,
CSGP,
DVA,
DAL,
DXCM,
DISH,
DIS,
DLTR,
DXC,
EW,
ENPH,
EPAM,
ETSY,
EXPE,
FFIV,
FISV,
FLT,
FTNT,
IT,
GEN,
GNRC,
HSIC,
HOLX,
IDXX,
ILMN,
INCY,
ISRG,
IQV,
KEYS,
LVS,
LYV,
MTCH,
META,
MTD,
MRNA,
MHK,
MOH,
MNST,
NFLX,
NCLH,
NVR,
ORLY,
ON,
PAYC,
PYPL,
PCG,
PTC,
QRVO,
REGN,
RCL,
CRM,
NOW,
SEDG,
LUV,
SIVB,
SNPS,
TMUS,
TTWO,
TDY,
TSLA,
TDG,
TRMB,
TYL,
ULTA,
UAL,
URI,
VRSN,
VRTX,
WBD,
WAT,
WDC,
WYNN,
ZBRA,
